ID,SegmentID,Roadway Name,From,To,Direction,Date,12:00-1:00 AM,1:00-2:00AM,2:00-3:00AM,3:00-4:00AM,4:00-5:00AM,5:00-6:00AM,6:00-7:00AM,7:00-8:00AM,8:00-9:00AM,9:00-10:00AM,10:00-11:00AM,11:00-12:00PM,12:00-1:00PM,1:00-2:00PM,2:00-3:00PM,3:00-4:00PM,4:00-5:00PM,5:00-6:00PM,6:00-7:00PM,7:00-8:00PM,8:00-9:00PM,9:00-10:00PM,10:00-11:00PM,11:00-12:00AM,day
8,109816,10 Avenue,67 Street,68 Street,NB,2019-10-19,36.0,14.0,18.0,11.0,11.0,20.0,40.0,72.0,87.0,145.0,124.0,135.0,144.0,124.0,103.0,130.0,146.0,121.0,135.0,79.0,97.0,79.0,64.0,70.0,2019-10-19
8,109816,10 Avenue,67 Street,68 Street,SB,2019-10-19,34.0,26.0,26.0,13.0,10.0,10.0,18.0,49.0,51.0,87.0,116.0,142.0,131.0,135.0,129.0,139.0,133.0,138.0,125.0,111.0,76.0,64.0,57.0,45.0,2019-10-19
14,19761,14 Avenue,72 Street,73 Street,NB,2019-10-19,62.0,41.0,30.0,25.0,27.0,31.0,68.0,110.0,166.0,214.0,165.0,178.0,223.0,245.0,210.0,222.0,225.0,212.0,195.0,196.0,170.0,140.0,116.0,95.0,2019-10-19
14,19761,14 Avenue,72 Street,73 Street,SB,2019-10-19,77.0,57.0,42.0,24.0,32.0,27.0,66.0,124.0,192.0,228.0,204.0,232.0,239.0,262.0,242.0,233.0,242.0,218.0,254.0,176.0,165.0,169.0,149.0,121.0,2019-10-19
15,19991,18 Avenue,72 Street,73 Street,NB,2019-10-19,150.0,98.0,58.0,70.0,69.0,51.0,89.0,221.0,293.0,407.0,525.0,485.0,541.0,511.0,467.0,485.0,522.0,526.0,523.0,482.0,370.0,208.0,185.0,189.0,2019-10-19
15,19991,18 Avenue,72 Street,73 Street,SB,2019-10-19,103.0,79.0,51.0,34.0,40.0,47.0,78.0,177.0,240.0,324.0,363.0,389.0,517.0,488.0,442.0,456.0,495.0,445.0,477.0,472.0,350.0,231.0,188.0,156.0,2019-10-19
16,20138,18 Avenue,71 Street,72 Street,NB,2019-10-19,118.0,57.0,57.0,40.0,39.0,88.0,160.0,249.0,343.0,429.0,515.0,426.0,506.0,541.0,498.0,410.0,423.0,562.0,503.0,480.0,383.0,275.0,232.0,187.0,2019-10-19
16,20138,18 Avenue,71 Street,72 Street,SB,2019-10-19,148.0,84.0,48.0,60.0,67.0,57.0,89.0,281.0,447.0,502.0,498.0,464.0,539.0,657.0,552.0,495.0,396.0,564.0,586.0,441.0,430.0,344.0,251.0,201.0,2019-10-19
30,21028,3 Avenue,29 Street,30 Street,NB,2019-10-19,250.0,215.0,180.0,157.0,201.0,302.0,499.0,770.0,958.0,1101.0,1570.0,1344.0,1321.0,1494.0,1464.0,1483.0,1464.0,1374.0,1404.0,1273.0,770.0,544.0,464.0,404.0,2019-10-19
30,21024,3 Avenue,29 Street,30 Street,SB,2019-10-19,172.0,130.0,97.0,64.0,48.0,77.0,100.0,229.0,444.0,637.0,756.0,878.0,1035.0,1018.0,990.0,974.0,1075.0,807.0,742.0,537.0,381.0,349.0,313.0,308.0,2019-10-19
32,22921,3 Avenue,Pacific Street,Dead Street,NB,2019-10-19,328.0,211.0,150.0,94.0,123.0,137.0,204.0,328.0,466.0,544.0,750.0,840.0,830.0,886.0,960.0,1002.0,992.0,983.0,983.0,1035.0,894.0,555.0,481.0,597.0,2019-10-19
32,22921,3 Avenue,Pacific Street,Dead Street,SB,2019-10-19,121.0,55.0,64.0,36.0,66.0,43.0,50.0,54.0,96.0,115.0,121.0,188.0,170.0,226.0,200.0,211.0,202.0,176.0,210.0,198.0,200.0,151.0,123.0,236.0,2019-10-19
35,22379,3 Street,Smith Street,Hoyt Street,EB,2019-10-19,54.0,19.0,18.0,10.0,7.0,15.0,17.0,20.0,47.0,64.0,87.0,96.0,106.0,109.0,130.0,104.0,127.0,109.0,133.0,117.0,88.0,70.0,85.0,60.0,2019-10-19
35,22379,3 Street,Smith Street,Hoyt Street,WB,2019-10-19,40.0,29.0,18.0,15.0,12.0,21.0,36.0,51.0,78.0,127.0,132.0,160.0,188.0,181.0,167.0,188.0,241.0,213.0,146.0,159.0,117.0,67.0,62.0,60.0,2019-10-19
39,152873,34TH AVENUE,92nd Street,93rd Street,EB,2019-10-19,245.0,176.0,166.0,138.0,161.0,130.0,143.0,175.0,247.0,299.0,370.0,366.0,399.0,428.0,440.0,433.0,406.0,422.0,354.0,386.0,399.0,339.0,334.0,268.0,2019-10-19
